ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2021,22,10/01/20,2133,55.19833,-58.195,SAT-HIGH,GEN,GEN,RCM1
2021,12,10/02/20,2109,54.73667,-50.63833,SAT-HIGH,GEN,GEN,RCM2
2021,8,10/02/20,2142,59.13333,-63.31833,SAT-HIGH,GEN,GEN,RCM1
2021,38,10/02/20,2142,57.335,-59.37167,SAT-HIGH,GEN,GEN,RCM1
2021,41,10/02/20,2142,60.52833,-61.345,SAT-HIGH,GEN,GEN,RCM1
2021,42,10/02/20,2142,58.11333,-62.22667,SAT-HIGH,GEN,GEN,RCM1
2021,43,10/02/20,2142,56.22333,-59.1,SAT-HIGH,GEN,GEN,RCM1
2021,35,10/03/20,2113,52.78667,-54.565,SAT-HIGH,GEN,GEN,RCM2
2021,10,10/03/20,2150,56.52167,-60.265,SAT-HIGH,GEN,GEN,RCM1
2021,29,10/03/20,2150,58.005,-59.94667,SAT-HIGH,GEN,GEN,RCM1
2021,36,10/03/20,2150,57.30167,-60.95333,SAT-HIGH,GEN,GEN,RCM1
2021,35,10/04/20,1718,52.545,-54.48667,VIS,MED,DD,FBPZ
2021,26,10/04/20,2121,54.21,-52.99167,SAT-HIGH,GEN,GEN,RCM2
2021,35,10/04/20,2121,52.5,-54.54,SAT-HIGH,GEN,GEN,RCM2
2021,35,10/05/20,1417,52.35667,-54.66333,R/V,MED,DD,FBPZ
2021,43,10/05/20,2134,55.99667,-58.95167,SAT-HIGH,GEN,GEN,RCM2
2021,10,10/06/20,1008,56.36833,-59.95667,SAT-HIGH,GEN,GEN,RCM3
2021,29,10/06/20,1008,57.94,-60.08167,SAT-HIGH,GEN,GEN,RCM3
2021,24,10/06/20,2142,56.52,-60.265,SAT-HIGH,GEN,GEN,RCM2
2021,36,10/06/20,2142,57.3,-60.955,SAT-HIGH,GEN,GEN,RCM2
2021,44,10/06/20,2142,59.50833,-63,SAT-HIGH,GEN,GEN,RCM2
2021,35,10/07/20,948,52.32667,-54.48,SAT-HIGH,GEN,GEN,RCM1
2021,24,10/07/20,1017,56.52,-60.265,SAT-HIGH,GEN,GEN,RCM3
2021,36,10/07/20,1017,57.31667,-61.035,SAT-HIGH,GEN,GEN,RCM3
2021,35,10/07/20,2113,52.43,-54.37167,SAT-HIGH,GEN,GEN,RCM3
2021,24,10/07/20,2149,56.52,-60.265,SAT-HIGH,GEN,GEN,RCM2
2021,8,10/07/20,2151,59.42833,-63.35667,SAT-HIGH,GEN,GEN,RCM2
2021,24,10/08/20,1025,56.465,-60.18833,SAT-HIGH,GEN,GEN,RCM3
2021,36,10/08/20,1025,57.27833,-61.075,SAT-HIGH,GEN,GEN,RCM3
2021,24,10/08/20,2158,56.46667,-60.18833,SAT-HIGH,GEN,GEN,RCM2
2021,36,10/08/20,2158,57.27833,-61.07667,SAT-HIGH,GEN,GEN,RCM2
2021,24,10/09/20,2134,56.46667,-60.18833,SAT-HIGH,GEN,GEN,RCM3
2021,36,10/09/20,2134,57.26667,-61.07833,SAT-HIGH,GEN,GEN,RCM3
2021,24,10/10/20,1009,56.415,-60.13833,SAT-HIGH,GEN,GEN,RCM1
2021,36,10/10/20,1009,57.26667,-61.07667,SAT-HIGH,GEN,GEN,RCM1
2021,45,10/10/20,2143,59.035,-62.83833,SAT-HIGH,GEN,GEN,RCM3
2021,46,10/10/20,2143,58.09333,-60.86667,SAT-HIGH,GEN,GEN,RCM3
2021,48,10/11/20,948,56.09,-53.92,SAT-HIGH,GEN,GEN,RCM2
2021,10,10/11/20,1016,55.72167,-58.235,SAT-HIGH,GEN,GEN,RCM1
2021,24,10/11/20,1016,56.16667,-59.62,SAT-HIGH,GEN,GEN,RCM1
2021,36,10/11/20,1016,57.26667,-61.07833,SAT-HIGH,GEN,GEN,RCM1
2021,47,10/11/20,1016,55,-58.63,SAT-HIGH,GEN,GEN,RCM1
2021,49,10/11/20,1440,60.24333,-63.815,RAD,RAD,RAD,CGBN
2021,47,10/11/20,2150,55,-58.63,SAT-HIGH,GEN,GEN,RCM3
2021,50,10/11/20,2150,57.31667,-57.885,SAT-HIGH,GEN,GEN,RCM3
2021,51,10/11/20,2151,60.26167,-64.215,SAT-HIGH,GEN,GEN,RCM3
2021,52,10/12/20,954,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM2
2021,36,10/12/20,1025,57.265,-61.07833,SAT-HIGH,GEN,GEN,RCM1
2021,51,10/12/20,1025,60.26167,-64.21333,SAT-HIGH,GEN,GEN,RCM1
2021,26,10/13/20,933,53.48333,-51.45,SAT-HIGH,GEN,GEN,RCM3
2021,36,10/14/20,1009,57.26667,-61.07833,SAT-HIGH,GEN,GEN,RCM2
2021,46,10/14/20,1009,57.28333,-60.75333,SAT-HIGH,GEN,GEN,RCM2
2021,53,10/14/20,1700,57.26667,-61.06667,R/V,LG,PIN,CGHL
2021,47,10/14/20,2141,55,-58.63,SAT-HIGH,GEN,GEN,RCM1
2021,52,10/14/20,2141,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM1
2021,55,10/15/20,1945,55.26667,-58.68333,R/V,GEN,GEN,CGHL
2021,56,10/15/20,1945,55.28333,-58.73333,R/V,GEN,GEN,CGHL
2021,10,10/15/20,2149,54.93167,-57.48667,SAT-HIGH,GEN,GEN,RCM1
2021,24,10/15/20,2149,55.33167,-57.545,SAT-HIGH,GEN,GEN,RCM1
2021,47,10/15/20,2149,55,-58.63,SAT-HIGH,GEN,GEN,RCM1
2021,52,10/15/20,2149,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM1
2021,52,10/16/20,955,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM3
2021,36,10/16/20,1028,57.265,-61.07667,SAT-HIGH,GEN,GEN,RCM2
2021,42,10/16/20,1028,57.925,-61.86167,SAT-HIGH,GEN,GEN,RCM2
2021,45,10/16/20,1028,58.78333,-62.55333,SAT-HIGH,GEN,GEN,RCM2
2021,46,10/16/20,1028,57.24333,-60.62833,SAT-HIGH,GEN,GEN,RCM2
2021,54,10/16/20,1028,57.36667,-60.815,SAT-HIGH,GEN,GEN,RCM2
2021,26,10/18/20,938,53.24833,-51.94167,SAT-HIGH,GEN,GEN,RCM1
2021,57,10/18/20,938,51.87333,-52.16333,SAT-HIGH,GEN,GEN,RCM1
2021,58,10/18/20,938,51.69833,-51.98833,SAT-HIGH,GEN,GEN,RCM1
2021,43,10/19/20,948,55.63167,-54.82667,SAT-HIGH,GEN,GEN,RCM1
2021,36,10/19/20,1017,57.265,-61.075,SAT-HIGH,GEN,GEN,RCM3
2021,56,10/19/20,1017,55.36833,-58.59333,SAT-HIGH,GEN,GEN,RCM3
2021,59,10/19/20,2114,53.13333,-55.41667,SAT-HIGH,GEN,GEN,RCM3
2021,52,10/19/20,2149,54.02167,-57.03667,SAT-HIGH,GEN,GEN,RCM2
2021,56,10/19/20,2149,55.40667,-58.61,SAT-HIGH,GEN,GEN,RCM2
2021,52,10/20/20,954,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM1
2021,60,10/20/20,954,54.48167,-54.83667,SAT-HIGH,GEN,GEN,RCM1
2021,53,10/20/20,1028,56.92833,-60.97667,SAT-HIGH,GEN,GEN,RCM3
2021,52,10/21/20,1000,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM1
2021,51,10/21/20,1032,60.29667,-64.3,SAT-HIGH,GEN,GEN,RCM3
2021,61,10/21/20,1032,59.72833,-63.725,SAT-HIGH,GEN,GEN,RCM3
2021,62,10/21/20,1032,59.86833,-63.94667,SAT-HIGH,GEN,GEN,RCM3
2021,46,10/22/20,1009,56.61833,-59.95833,SAT-HIGH,GEN,GEN,RCM1
2021,52,10/22/20,1009,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM1
2021,47,10/22/20,2141,55,-58.63,SAT-HIGH,GEN,GEN,RCM3
2021,52,10/22/20,2141,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM3
2021,53,10/22/20,2141,56.59167,-60.48667,SAT-HIGH,GEN,GEN,RCM3
2021,56,10/22/20,2141,55.11167,-58.27,SAT-HIGH,GEN,GEN,RCM3
2021,8,10/22/20,2143,59.10667,-62.97333,SAT-HIGH,GEN,GEN,RCM3
2021,36,10/22/20,2143,57.26667,-61.07667,SAT-HIGH,GEN,GEN,RCM3
2021,51,10/22/20,2143,60.29667,-64.3,SAT-HIGH,GEN,GEN,RCM3
2021,61,10/22/20,2143,59.72833,-63.72333,SAT-HIGH,GEN,GEN,RCM3
2021,63,10/22/20,2143,60.475,-64.13,SAT-HIGH,GEN,GEN,RCM3
2021,64,10/22/20,2143,60.26167,-64.21333,SAT-HIGH,GEN,GEN,RCM3
2021,52,10/23/20,946,54.02,-57.03667,SAT-HIGH,GEN,GEN,RCM2
2021,65,10/23/20,946,53.89333,-56.835,SAT-HIGH,GEN,GEN,RCM2
